id,WKT
278,"621190.905833636 5304449.85294061 0.0,621177.391909946 5304452.98275961 0.0,"
279,"621177.391909946 5304452.98275961 0.0,621179.948477492 5304472.29419811 0.0,"
280,"621179.948477492 5304472.29419811 0.0,621204.823764518 5304473.08321793 0.0,"
281,"621204.823764518 5304473.08321793 0.0,621283.344579633 5304465.57028157 0.0,"
282,"621283.344579633 5304465.57028157 0.0,621301.01529988 5304459.68162518 0.0,"
283,"621301.01529988 5304459.68162518 0.0,621438.19575585 5304365.89835116 0.0,"
284,"621438.19575585 5304365.89835116 0.0,621429.919684235 5304313.07664324 0.0,"
285,"621429.919684235 5304313.07664324 0.0,621428.656788466 5304269.27526913 0.0,"
286,"621426.462884531 5304213.19025764 0.0,621428.656788466 5304269.27526913 0.0,"
287,"621420.802504504 5304164.01497684 0.0,621426.462884531 5304213.19025764 0.0,"
288,"621414.566747067 5304118.71919777 0.0,621420.802504504 5304164.01497684 0.0,"
289,"621414.566747067 5304118.71919777 0.0,621411.074550845 5304088.08013013 0.0,"
290,"621414.566747067 5304118.71919777 0.0,621411.074550845 5304088.08013013 0.0,"
291,"621414.566747067 5304118.71919777 0.0,621420.802504504 5304164.01497684 0.0,"
292,"621420.802504504 5304164.01497684 0.0,621426.462884531 5304213.19025764 0.0,"
293,"621426.462884531 5304213.19025764 0.0,621428.656788466 5304269.27526913 0.0,"
294,"621428.656788466 5304269.27526913 0.0,621449.807772402 5304362.88478541 0.0,"
295,"621449.807772402 5304362.88478541 0.0,621453.544184444 5304373.00368502 0.0,"
296,"621453.544184444 5304373.00368502 0.0,621443.337948576 5304378.17050808 0.0,"
297,"621443.337948576 5304378.17050808 0.0,621419.261116454 5304397.36667922 0.0,"
298,"621419.261116454 5304397.36667922 0.0,621350.145651138 5304447.71616843 0.0,"
299,"621350.145651138 5304447.71616843 0.0,621304.921273199 5304469.21468795 0.0,"
300,"621301.01529988 5304459.68162518 0.0,621304.921273199 5304469.21468795 0.0,"
301,"621285.213183346 5304449.96535961 0.0,621301.01529988 5304459.68162518 0.0,"
302,"621277.51610473 5304447.50207424 0.0,621285.213183346 5304449.96535961 0.0,"
303,"621254.977856131 5304440.84661805 0.0,621277.51610473 5304447.50207424 0.0,"
304,"621228.382678888 5304441.09979869 0.0,621254.977856131 5304440.84661805 0.0,"
305,"621224.336850288 5304441.07044198 0.0,621228.382678888 5304441.09979869 0.0,"
306,"621223.184338019 5304441.10183712 0.0,621224.336850288 5304441.07044198 0.0,"
307,"621200.650762689 5304445.26529745 0.0,621223.184338019 5304441.10183712 0.0,"
308,"621190.905833636 5304449.85294061 0.0,621200.650762689 5304445.26529745 0.0,"
309,"621190.905833636 5304449.85294061 0.0,621177.391909946 5304452.98275961 0.0,"
310,"621177.391909946 5304452.98275961 0.0,621179.948477492 5304472.29419811 0.0,"
311,"621179.948477492 5304472.29419811 0.0,621179.875225694 5304482.91112438 0.0,"
